usage point,occurred,value
{http://naesb.org/espi}UsagePoint,None,None
{http://naesb.org/espi}MeterReading,None,None
{http://naesb.org/espi}ReadingType,None,None
{http://naesb.org/espi}IntervalBlock,None,None
{http://naesb.org/espi}interval,2011-03-06T05:00:00.000000Z,None
{http://naesb.org/espi}IntervalReading,2011-03-06T05:00:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T05:15:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T05:30:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T05:45:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T06:00:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T06:15:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T06:30:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T06:45:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T07:00:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T07:15:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T07:30:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T07:45:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T08:00:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T08:15:00.000000Z,3300
{http://naesb.org/espi}IntervalReading,2011-03-06T08:30:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T08:45:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T09:00:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T09:15:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T09:30:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T09:45:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T10:00:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-06T10:15:00.000000Z,2400
{http://naesb.org/espi}IntervalReading,2011-03-06T10:30:00.000000Z,2400
{http://naesb.org/espi}IntervalReading,2011-03-06T10:45:00.000000Z,2100
{http://naesb.org/espi}IntervalReading,2011-03-06T11:00:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-06T11:15:00.000000Z,5100
{http://naesb.org/espi}IntervalReading,2011-03-06T11:30:00.000000Z,5400
{http://naesb.org/espi}IntervalReading,2011-03-06T11:45:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-06T12:00:00.000000Z,1500
{http://naesb.org/espi}IntervalReading,2011-03-06T12:15:00.000000Z,900
{http://naesb.org/espi}IntervalReading,2011-03-06T12:30:00.000000Z,1200
{http://naesb.org/espi}IntervalReading,2011-03-06T12:45:00.000000Z,900
{http://naesb.org/espi}IntervalReading,2011-03-06T13:00:00.000000Z,1500
